hour,day_of_week,rain_mm,road_type_enc,accident_rate_norm,speed_limit,school_zone,hospital_zone,ped_density_enc,lane_count,has_signal,traffic_vol_norm,incident_weight,cops_deployed,risk_label
0.913,0.167,0.000,1.000,0.467,0.500,0.000,0.000,0.667,0.500,1.000,0.141,0.000,0.200,33
0.783,0.833,0.200,0.600,0.333,0.500,0.000,1.000,1.000,0.500,1.000,0.817,0.000,0.400,51
0.000,0.833,0.200,0.800,0.633,0.500,0.000,0.000,0.333,0.500,0.000,0.125,0.000,0.100,29
0.000,0.167,0.200,1.000,0.500,0.500,0.000,0.000,0.667,0.500,1.000,0.150,0.000,0.400,36
0.391,0.833,0.000,0.900,0.333,0.500,1.000,0.000,1.000,0.500,1.000,0.841,0.000,0.100,57
0.783,0.833,0.200,0.800,0.833,0.500,0.000,0.000,0.333,0.500,1.000,0.904,0.000,0.300,60
0.261,0.833,0.200,1.000,0.600,0.500,0.000,0.000,0.667,0.500,1.000,0.342,0.000,0.100,41
0.000,0.167,0.200,1.000,0.667,0.300,0.000,0.000,1.000,0.750,1.000,0.145,0.000,0.400,42
0.391,0.833,0.200,1.000,0.500,0.500,1.000,0.000,0.667,0.500,1.000,0.821,0.000,0.400,55
0.391,0.167,0.000,0.600,0.233,0.800,0.000,1.000,0.667,0.250,1.000,0.846,0.000,0.200,51
0.913,0.167,0.000,1.000,0.600,0.500,1.000,0.000,1.000,0.500,1.000,0.156,0.000,0.300,47
0.913,0.833,0.000,1.000,0.333,0.500,1.000,0.000,0.667,0.500,1.000,0.130,0.000,0.300,28
0.000,0.167,0.200,0.600,0.300,0.800,0.000,0.000,0.667,0.250,0.000,0.156,0.000,0.200,28
0.130,0.833,0.200,1.000,0.500,0.500,0.000,0.000,0.667,0.500,1.000,0.144,0.000,0.400,27
0.391,0.167,0.000,0.500,0.400,0.500,0.000,0.000,0.667,0.500,1.000,0.841,0.000,0.200,53
0.783,0.833,0.000,0.600,0.233,0.500,0.000,0.000,0.333,0.500,1.000,1.000,0.000,0.000,44
0.130,0.167,0.200,0.800,0.200,0.500,0.000,0.000,0.333,0.500,1.000,0.126,0.000,0.400,21
0.000,0.833,0.000,1.000,0.333,0.500,0.000,0.000,0.333,0.500,1.000,0.146,0.000,0.100,27
0.130,0.167,0.000,0.600,0.600,0.800,0.000,0.000,1.000,0.250,1.000,0.152,0.000,0.300,36
0.261,0.833,0.200,0.600,0.300,0.500,0.000,0.000,0.667,0.500,1.000,0.356,0.000,0.300,28
0.522,0.833,0.200,1.000,0.600,0.500,0.000,0.000,0.667,0.500,1.000,0.571,0.000,0.300,48
0.130,0.833,0.200,1.000,0.533,0.500,0.000,1.000,1.000,0.500,1.000,0.128,0.000,0.300,34
0.913,0.833,0.200,1.000,0.467,0.500,0.000,0.000,0.667,0.500,1.000,0.141,0.000,0.400,27
0.783,0.167,0.000,1.000,0.400,0.500,0.000,0.000,0.667,0.500,1.000,1.000,0.000,0.300,61
0.652,0.167,0.000,1.000,0.533,0.500,0.000,0.000,0.667,0.500,1.000,0.507,0.000,0.000,53
0.652,0.833,0.200,1.000,0.533,0.500,0.000,1.000,1.000,0.500,1.000,0.638,0.000,0.200,48
0.000,0.833,0.200,1.000,0.733,0.300,0.000,0.000,1.000,0.750,1.000,0.131,0.000,0.100,42
0.913,0.833,0.000,1.000,0.333,0.500,0.000,0.000,0.333,0.500,1.000,0.151,0.000,0.000,27
0.130,0.833,0.000,0.800,0.867,0.300,0.000,0.000,0.333,0.750,1.000,0.159,0.000,0.100,34
0.130,0.167,0.200,1.000,0.333,0.500,0.000,0.000,0.333,0.500,1.000,0.125,0.000,0.200,31
0.261,0.167,0.200,0.600,0.267,0.800,0.000,0.000,0.667,0.250,0.000,0.391,0.000,0.400,31
0.652,0.167,0.000,0.600,0.400,0.800,0.000,0.000,1.000,0.250,1.000,0.641,0.000,0.300,43
0.913,0.833,0.200,0.600,0.500,0.500,0.000,0.000,1.000,0.500,1.000,0.131,0.000,0.400,26
0.913,0.167,0.200,1.000,0.400,0.500,0.000,0.000,0.667,0.500,1.000,0.135,0.000,0.300,33
0.783,0.833,0.000,0.900,0.333,0.500,1.000,0.000,1.000,0.500,1.000,1.000,0.000,0.100,55
0.913,0.833,0.000,1.000,0.400,0.500,1.000,0.000,0.667,0.500,1.000,0.148,0.000,0.300,27
0.391,0.167,0.000,0.600,0.367,0.800,0.000,0.000,1.000,0.250,1.000,0.798,0.000,0.100,58
0.261,0.167,0.200,1.000,0.933,0.300,0.000,1.000,1.000,0.750,1.000,0.362,0.000,0.100,64
0.783,0.833,0.000,0.800,0.733,0.500,0.000,0.000,0.333,0.500,0.000,0.776,0.000,0.300,48
0.652,0.167,0.200,0.600,0.367,0.800,0.000,0.000,1.000,0.250,1.000,0.539,0.000,0.300,44
0.783,0.167,0.200,0.800,0.733,0.500,0.000,0.000,0.333,0.500,0.000,0.776,0.000,0.200,64
0.522,0.833,0.000,1.000,0.367,0.500,0.000,0.000,0.667,0.500,1.000,0.597,0.000,0.000,39
0.391,0.167,0.200,0.800,0.867,0.300,0.000,0.000,0.333,0.750,1.000,0.951,0.000,0.200,73
0.783,0.167,0.000,0.800,0.633,0.500,0.000,0.000,0.333,0.500,0.000,0.867,0.000,0.000,63
0.130,0.167,0.000,0.800,0.800,0.300,0.000,0.000,0.333,0.750,1.000,0.115,0.000,0.000,44
0.000,0.167,0.200,1.000,0.367,0.500,0.000,0.000,0.333,0.500,1.000,0.124,0.000,0.100,34
0.261,0.167,0.000,1.000,0.433,0.500,0.000,0.000,0.667,0.500,1.000,0.378,0.000,0.300,36
0.130,0.833,0.000,1.000,0.367,0.500,0.000,0.000,0.667,0.500,1.000,0.123,0.000,0.300,25
0.000,0.167,0.200,0.600,0.233,0.500,0.000,0.000,0.333,0.500,1.000,0.155,0.000,0.300,18
0.783,0.167,0.200,0.800,0.200,0.500,0.000,0.000,0.333,0.500,1.000,1.000,0.000,0.400,54
0.261,0.167,0.000,1.000,0.433,0.500,0.000,0.000,0.333,0.500,1.000,0.340,0.000,0.300,33
0.522,0.833,0.200,0.600,0.600,0.800,0.000,0.000,1.000,0.250,1.000,0.457,0.000,0.400,38
0.000,0.833,0.000,1.000,0.600,0.500,0.000,0.000,0.667,0.500,1.000,0.148,0.000,0.100,31
0.783,0.833,0.000,1.000,0.467,0.500,0.000,0.000,0.667,0.500,1.000,0.999,0.000,0.100,58
0.261,0.833,0.200,0.800,0.867,0.300,0.000,0.000,0.333,0.750,1.000,0.345,0.000,0.400,39
0.130,0.167,0.200,1.000,0.367,0.500,0.000,0.000,0.667,0.500,1.000,0.123,0.000,0.400,32
0.522,0.167,0.200,0.600,0.367,0.800,0.000,0.000,1.000,0.250,1.000,0.516,0.000,0.200,41
0.522,0.167,0.000,0.600,0.600,0.800,0.000,0.000,1.000,0.250,1.000,0.457,0.000,0.000,48
0.391,0.167,0.200,0.900,0.333,0.500,1.000,0.000,1.000,0.500,1.000,0.841,0.000,0.300,69
0.783,0.833,0.200,1.000,0.733,0.300,0.000,0.000,1.000,0.750,1.000,1.000,0.000,0.400,66
0.913,0.833,0.200,0.800,0.567,0.500,0.000,0.000,0.333,0.500,0.000,0.151,0.000,0.100,32
0.783,0.167,0.000,0.500,0.400,0.500,0.000,0.000,0.667,0.500,1.000,0.802,0.000,0.100,55
0.522,0.167,0.000,0.600,0.367,0.800,0.000,0.000,1.000,0.250,1.000,0.516,0.000,0.100,39
0.000,0.833,0.000,0.600,0.467,0.500,0.000,0.000,1.000,0.500,1.000,0.129,0.000,0.200,29
0.130,0.833,0.000,0.800,0.633,0.500,0.000,0.000,0.333,0.500,0.000,0.123,0.000,0.100,30
0.391,0.833,0.200,1.000,0.367,0.500,0.000,0.000,0.667,0.500,1.000,0.924,0.000,0.300,53
0.391,0.167,0.200,1.000,0.367,0.500,0.000,0.000,0.333,0.500,1.000,0.836,0.000,0.100,63
0.391,0.833,0.200,0.900,0.333,0.500,1.000,0.000,1.000,0.500,1.000,0.841,0.000,0.200,60
0.391,0.833,0.200,0.800,0.633,0.500,0.000,0.000,0.333,0.500,0.000,0.902,0.000,0.200,58
0.783,0.833,0.200,0.900,0.267,0.800,1.000,0.000,1.000,0.250,1.000,0.808,0.000,0.300,53
0.261,0.167,0.200,0.600,0.500,0.500,0.000,0.000,1.000,0.500,1.000,0.362,0.000,0.100,41
0.391,0.167,0.000,1.000,0.667,0.500,0.000,0.000,0.667,0.500,1.000,0.879,0.000,0.300,68
0.522,0.167,0.200,0.600,0.233,0.800,0.000,1.000,0.667,0.250,1.000,0.519,0.000,0.200,39
0.261,0.167,0.200,0.800,0.667,0.500,0.000,0.000,0.333,0.500,0.000,0.429,0.000,0.100,49
0.913,0.167,0.000,1.000,0.467,0.500,1.000,0.000,0.667,0.500,1.000,0.141,0.000,0.100,38
0.913,0.167,0.200,0.600,0.233,0.500,0.000,0.000,0.333,0.500,1.000,0.156,0.000,0.200,25
0.522,0.833,0.200,0.800,0.200,0.500,0.000,0.000,0.333,0.500,1.000,0.547,0.000,0.100,32
0.652,0.833,0.000,1.000,0.933,0.300,0.000,1.000,1.000,0.750,1.000,0.518,0.000,0.300,56
0.391,0.167,0.200,1.000,0.533,0.500,0.000,1.000,1.000,0.500,1.000,0.834,0.000,0.200,71
0.391,0.833,0.000,1.000,0.333,0.500,0.000,0.000,0.333,0.500,1.000,0.791,0.000,0.000,49
0.391,0.833,0.000,0.800,0.800,0.300,0.000,0.000,0.333,0.750,1.000,0.881,0.000,0.000,61
0.913,0.833,0.200,0.800,0.800,0.300,0.000,0.000,0.333,0.750,1.000,0.148,0.000,0.300,35
0.913,0.833,0.200,1.000,0.933,0.300,0.000,1.000,1.000,0.750,1.000,0.126,0.000,0.100,49
0.652,0.167,0.200,0.600,0.300,0.500,0.000,0.000,0.667,0.500,1.000,0.570,0.000,0.200,40
0.913,0.167,0.200,0.800,0.633,0.500,0.000,0.000,0.333,0.500,0.000,0.145,0.000,0.300,39
0.391,0.833,0.000,1.000,0.367,0.500,0.000,0.000,0.333,0.500,1.000,0.836,0.000,0.100,50
0.391,0.833,0.200,0.900,0.267,0.800,1.000,0.000,1.000,0.250,1.000,0.694,0.000,0.100,49
0.130,0.833,0.000,1.000,0.733,0.300,0.000,0.000,1.000,0.750,1.000,0.113,0.000,0.100,43
0.652,0.833,0.000,1.000,0.333,0.500,0.000,0.000,0.333,0.500,1.000,0.574,0.000,0.000,39
0.522,0.167,0.000,1.000,0.300,0.500,0.000,0.000,0.333,0.500,1.000,0.513,0.000,0.100,38
0.391,0.833,0.200,0.900,0.200,0.800,0.000,1.000,1.000,0.250,1.000,0.856,0.000,0.100,54
0.391,0.167,0.200,0.800,0.200,0.500,0.000,0.000,0.333,0.500,1.000,0.726,0.000,0.100,46
0.522,0.833,0.000,0.600,0.267,0.800,0.000,0.000,0.667,0.250,0.000,0.569,0.000,0.100,28
0.391,0.833,0.000,0.500,0.400,0.500,0.000,0.000,0.667,0.500,1.000,0.841,0.000,0.100,47
0.522,0.833,0.000,0.600,0.233,0.800,0.000,1.000,0.667,0.250,1.000,0.519,0.000,0.300,29
0.522,0.833,0.200,1.000,0.533,0.500,0.000,0.000,0.667,0.500,1.000,0.539,0.000,0.400,43
0.391,0.167,0.000,1.000,0.700,0.500,0.000,0.000,0.667,0.500,1.000,0.813,0.000,0.200,66
0.130,0.833,0.200,1.000,0.333,0.500,1.000,0.000,0.667,0.500,1.000,0.149,0.000,0.200,31
0.652,0.167,0.000,1.000,0.500,0.500,0.000,0.000,0.667,0.500,1.000,0.532,0.000,0.300,48
0.261,0.833,0.000,1.000,0.367,0.500,0.000,0.000,0.667,0.500,1.000,0.364,0.000,0.100,32
0.522,0.167,0.200,0.900,0.333,0.500,1.000,0.000,1.000,0.500,1.000,0.525,0.000,0.200,48
0.391,0.833,0.200,1.000,0.333,0.500,0.000,0.000,0.333,0.500,1.000,0.791,0.000,0.100,51
0.391,0.167,0.000,0.800,0.633,0.500,0.000,0.000,0.333,0.500,0.000,0.902,0.000,0.100,64
0.913,0.167,0.200,1.000,0.700,0.500,0.000,0.000,0.667,0.500,1.000,0.128,0.000,0.400,47
0.261,0.167,0.000,0.800,0.667,0.500,0.000,0.000,0.333,0.500,0.000,0.429,0.000,0.000,47
0.913,0.167,0.000,0.600,0.267,0.800,0.000,0.000,0.667,0.250,0.000,0.140,0.000,0.300,25
0.913,0.833,0.000,1.000,0.367,0.500,0.000,0.000,0.667,0.500,1.000,0.127,0.000,0.100,28
0.261,0.167,0.200,0.800,0.833,0.500,0.000,0.000,0.333,0.500,1.000,0.320,0.000,0.400,47
0.652,0.833,0.000,0.900,0.200,0.800,0.000,1.000,1.000,0.250,1.000,0.596,0.000,0.200,35
0.130,0.167,0.200,1.000,0.667,0.300,0.000,0.000,1.000,0.750,1.000,0.146,0.000,0.200,51
0.391,0.167,0.200,1.000,0.667,0.300,0.000,0.000,1.000,0.750,1.000,0.735,0.000,0.400,67
0.783,0.833,0.200,0.800,0.633,0.500,0.000,0.000,0.333,0.500,0.000,0.867,0.000,0.200,55
0.261,0.167,0.200,1.000,0.400,0.500,0.000,0.000,0.667,0.500,1.000,0.315,0.000,0.400,39
0.000,0.167,0.000,0.600,0.467,0.500,0.000,0.000,1.000,0.500,1.000,0.129,0.000,0.000,37
0.522,0.167,0.000,1.000,0.533,0.500,0.000,1.000,1.000,0.500,1.000,0.576,0.000,0.200,57
0.261,0.167,0.000,0.600,0.367,0.800,0.000,0.000,1.000,0.250,1.000,0.321,0.000,0.300,34
0.652,0.167,0.200,0.800,0.867,0.300,0.000,0.000,0.333,0.750,1.000,0.653,0.000,0.200,60
0.000,0.833,0.000,1.000,0.700,0.500,0.000,0.000,0.667,0.500,1.000,0.124,0.000,0.200,32
0.391,0.833,0.000,0.600,0.400,0.800,0.000,0.000,1.000,0.250,1.000,0.731,0.000,0.300,44
0.130,0.833,0.200,1.000,0.400,0.500,0.000,0.000,0.667,0.500,1.000,0.156,0.000,0.200,28
0.130,0.167,0.000,1.000,0.667,0.500,0.000,0.000,0.667,0.500,1.000,0.146,0.000,0.200,43
0.652,0.833,0.000,0.800,0.833,0.500,0.000,0.000,0.333,0.500,1.000,0.487,0.000,0.100,42
0.913,0.833,0.000,0.600,0.233,0.500,0.000,0.000,0.333,0.500,1.000,0.156,0.000,0.100,21
0.783,0.167,0.200,0.500,0.400,0.500,0.000,0.000,0.667,0.500,1.000,0.802,0.000,0.200,57
0.130,0.833,0.200,1.000,0.300,0.500,0.000,0.000,0.333,0.500,1.000,0.134,0.000,0.100,28
0.522,0.167,0.000,1.000,0.400,0.500,0.000,0.000,0.667,0.500,1.000,0.606,0.000,0.100,48
0.913,0.833,0.000,1.000,0.433,0.500,0.000,0.000,0.333,0.500,1.000,0.146,0.000,0.300,22
0.652,0.167,0.000,1.000,0.567,0.500,0.000,0.000,0.667,0.500,1.000,0.574,0.000,0.200,48
0.783,0.833,0.000,1.000,0.367,0.500,0.000,0.000,0.333,0.500,1.000,0.952,0.000,0.300,45
0.000,0.833,0.000,1.000,0.433,0.500,0.000,0.000,0.333,0.500,1.000,0.158,0.000,0.000,31
0.000,0.833,0.000,1.000,0.667,0.300,0.000,0.000,1.000,0.750,1.000,0.145,0.000,0.200,34
0.783,0.833,0.200,0.800,0.867,0.300,0.000,0.000,0.333,0.750,1.000,0.919,0.000,0.300,60
0.913,0.167,0.200,1.000,0.600,0.500,1.000,0.000,1.000,0.500,1.000,0.156,0.000,0.400,50
0.130,0.833,0.000,1.000,0.600,0.500,0.000,0.000,0.667,0.500,1.000,0.135,0.000,0.300,31
0.391,0.833,0.200,0.800,0.833,0.500,0.000,0.000,0.333,0.500,1.000,0.821,0.000,0.400,59
0.130,0.833,0.000,0.800,0.200,0.500,0.000,0.000,0.333,0.500,1.000,0.126,0.000,0.000,22
0.522,0.167,0.000,0.600,0.467,0.500,0.000,0.000,1.000,0.500,1.000,0.598,0.000,0.100,49
0.913,0.167,0.000,1.000,0.700,0.500,0.000,0.000,0.667,0.500,1.000,0.128,0.000,0.300,44
0.522,0.833,0.200,0.900,0.333,0.500,1.000,0.000,1.000,0.500,1.000,0.525,0.000,0.200,40
0.783,0.833,0.000,1.000,0.300,0.500,0.000,0.000,0.333,0.500,1.000,0.873,0.000,0.100,50
0.391,0.833,0.200,1.000,0.433,0.500,0.000,0.000,0.667,0.500,1.000,0.866,0.000,0.200,55
0.783,0.833,0.200,1.000,0.567,0.500,0.000,0.000,0.667,0.500,1.000,0.755,0.000,0.400,53
0.913,0.833,0.200,1.000,0.367,0.500,0.000,0.000,0.667,0.500,1.000,0.127,0.000,0.200,29
0.913,0.833,0.000,0.600,0.300,0.500,0.000,0.000,0.667,0.500,1.000,0.123,0.000,0.100,24
0.913,0.167,0.000,0.800,0.567,0.500,0.000,0.000,0.333,0.500,0.000,0.151,0.000,0.300,32
0.652,0.167,0.200,1.000,0.400,0.500,1.000,0.000,0.667,0.500,1.000,0.529,0.000,0.200,53
0.261,0.833,0.000,1.000,0.700,0.500,0.000,0.000,0.667,0.500,1.000,0.324,0.000,0.200,41
0.130,0.167,0.200,1.000,0.533,0.500,1.000,0.000,0.667,0.500,1.000,0.142,0.000,0.200,41
0.913,0.167,0.000,0.500,0.400,0.500,0.000,0.000,0.667,0.500,1.000,0.115,0.000,0.100,26
0.652,0.167,0.200,1.000,0.467,0.500,1.000,0.000,0.667,0.500,1.000,0.597,0.000,0.400,52
0.130,0.833,0.000,0.600,0.467,0.500,0.000,0.000,1.000,0.500,1.000,0.143,0.000,0.200,24
0.261,0.167,0.000,0.800,0.567,0.500,0.000,0.000,0.333,0.500,0.000,0.345,0.000,0.100,37
0.391,0.167,0.000,0.600,0.467,0.500,0.000,0.000,1.000,0.500,1.000,0.853,0.000,0.200,57
0.130,0.833,0.000,1.000,0.500,0.500,1.000,0.000,0.667,0.500,1.000,0.127,0.000,0.200,29
0.913,0.833,0.200,1.000,0.567,0.500,0.000,0.000,0.667,0.500,1.000,0.133,0.000,0.300,33
0.652,0.167,0.000,1.000,0.400,0.500,0.000,0.000,0.667,0.500,1.000,0.581,0.000,0.200,48
0.000,0.833,0.000,0.800,0.567,0.500,0.000,0.000,0.333,0.500,0.000,0.123,0.000,0.300,24
0.130,0.167,0.200,1.000,0.633,0.500,0.000,1.000,0.667,0.500,1.000,0.157,0.000,0.300,46
0.783,0.167,0.200,1.000,0.433,0.500,0.000,0.000,0.667,0.500,1.000,0.852,0.000,0.200,65
0.391,0.167,0.000,0.800,0.667,0.500,0.000,0.000,0.333,0.500,0.000,1.000,0.000,0.000,70
0.652,0.833,0.000,0.800,0.667,0.500,0.000,0.000,0.333,0.500,0.000,0.655,0.000,0.100,44
0.000,0.167,0.000,0.800,0.733,0.500,0.000,0.000,0.333,0.500,0.000,0.128,0.000,0.200,35
0.522,0.167,0.200,1.000,0.667,0.500,0.000,0.000,0.667,0.500,1.000,0.518,0.000,0.400,56
0.130,0.167,0.200,0.800,0.667,0.500,0.000,0.000,0.333,0.500,0.000,0.143,0.000,0.400,37
0.261,0.833,0.200,0.600,0.300,0.800,0.000,0.000,0.667,0.250,0.000,0.324,0.000,0.300,28
0.261,0.833,0.000,1.000,0.467,0.500,0.000,0.000,0.667,0.500,1.000,0.351,0.000,0.100,33
0.652,0.167,0.000,1.000,0.333,0.500,0.000,0.000,0.333,0.500,1.000,0.574,0.000,0.000,45
0.913,0.833,0.200,1.000,0.533,0.500,1.000,0.000,0.667,0.500,1.000,0.132,0.000,0.400,33
0.652,0.833,0.000,1.000,0.500,0.500,0.000,0.000,0.667,0.500,1.000,0.532,0.000,0.300,40
0.261,0.833,0.000,0.600,0.233,0.800,0.000,1.000,0.667,0.250,1.000,0.323,0.000,0.200,26
0.130,0.167,0.200,1.000,0.367,0.500,0.000,0.000,0.333,0.500,1.000,0.145,0.000,0.100,32
0.130,0.167,0.200,1.000,0.500,0.500,1.000,0.000,0.667,0.500,1.000,0.127,0.000,0.300,37
0.522,0.167,0.200,1.000,0.533,0.500,0.000,0.000,0.667,0.500,1.000,0.539,0.000,0.300,53
0.130,0.833,0.200,1.000,0.633,0.500,0.000,1.000,0.667,0.500,1.000,0.157,0.000,0.200,40
0.913,0.833,0.200,0.800,0.867,0.300,0.000,0.000,0.333,0.750,1.000,0.122,0.000,0.100,38
0.391,0.833,0.000,1.000,0.600,0.500,0.000,0.000,0.667,0.500,1.000,0.882,0.000,0.000,58
0.261,0.833,0.000,1.000,0.433,0.500,0.000,0.000,0.667,0.500,1.000,0.332,0.000,0.300,30
0.522,0.167,0.200,0.500,0.400,0.500,0.000,0.000,0.667,0.500,1.000,0.484,0.000,0.400,33
0.913,0.833,0.200,0.600,0.333,0.500,0.000,1.000,1.000,0.500,1.000,0.142,0.000,0.100,30
0.652,0.167,0.000,0.500,0.400,0.500,0.000,0.000,0.667,0.500,1.000,0.532,0.000,0.300,37
0.130,0.167,0.200,0.800,0.800,0.300,0.000,0.000,0.333,0.750,1.000,0.115,0.000,0.100,45
0.913,0.833,0.200,0.600,0.267,0.800,0.000,0.000,0.667,0.250,0.000,0.140,0.000,0.100,26
0.913,0.167,0.200,1.000,0.500,0.500,0.000,0.000,0.667,0.500,1.000,0.146,0.000,0.400,35
0.652,0.833,0.200,1.000,0.533,0.500,1.000,0.000,0.667,0.500,1.000,0.509,0.000,0.300,47
0.522,0.167,0.000,1.000,0.600,0.500,0.000,0.000,0.667,0.500,1.000,0.571,0.000,0.300,52
0.000,0.167,0.000,1.000,0.700,0.500,0.000,0.000,0.667,0.500,1.000,0.124,0.000,0.000,42
0.522,0.167,0.000,1.000,0.467,0.500,1.000,0.000,0.667,0.500,1.000,0.510,0.000,0.100,48
0.261,0.833,0.200,0.600,0.367,0.800,0.000,0.000,1.000,0.250,1.000,0.321,0.000,0.100,34
0.652,0.167,0.200,1.000,0.600,0.500,0.000,0.000,0.667,0.500,1.000,0.467,0.000,0.400,52
0.522,0.167,0.200,1.000,0.533,0.500,0.000,1.000,1.000,0.500,1.000,0.576,0.000,0.300,60
0.130,0.833,0.200,1.000,0.433,0.500,0.000,0.000,0.333,0.500,1.000,0.144,0.000,0.200,25
0.652,0.833,0.000,0.600,0.333,0.500,0.000,1.000,1.000,0.500,1.000,0.522,0.000,0.000,37
0.391,0.833,0.200,1.000,0.700,0.500,0.000,0.000,0.667,0.500,1.000,0.813,0.000,0.100,62
0.130,0.167,0.200,0.900,0.200,0.800,0.000,1.000,1.000,0.250,1.000,0.148,0.000,0.300,35
0.130,0.833,0.000,0.600,0.367,0.800,0.000,0.000,1.000,0.250,1.000,0.136,0.000,0.100,26
0.913,0.833,0.000,1.000,0.667,0.300,0.000,0.000,1.000,0.750,1.000,0.141,0.000,0.100,43
0.130,0.833,0.000,0.600,0.400,0.800,0.000,0.000,1.000,0.250,1.000,0.134,0.000,0.200,24
0.652,0.833,0.200,1.000,0.600,0.500,0.000,0.000,0.667,0.500,1.000,0.467,0.000,0.400,43
0.130,0.833,0.000,0.600,0.600,0.800,0.000,0.000,1.000,0.250,1.000,0.152,0.000,0.100,33
0.913,0.833,0.200,0.600,0.233,0.800,0.000,1.000,0.667,0.250,1.000,0.151,0.000,0.100,27
0.913,0.167,0.000,1.000,0.633,0.500,0.000,1.000,0.667,0.500,1.000,0.129,0.000,0.100,46
0.522,0.167,0.000,0.800,0.667,0.500,0.000,0.000,0.333,0.500,0.000,0.584,0.000,0.300,45
0.391,0.833,0.200,0.600,0.233,0.800,0.000,1.000,0.667,0.250,1.000,0.846,0.000,0.200,47
0.652,0.167,0.200,1.000,0.300,0.500,0.000,0.000,0.333,0.500,1.000,0.564,0.000,0.200,42
0.261,0.833,0.200,1.000,0.467,0.500,0.000,0.000,0.667,0.500,1.000,0.351,0.000,0.200,34
0.261,0.833,0.000,1.000,0.333,0.500,0.000,0.000,0.333,0.500,1.000,0.402,0.000,0.000,30
0.913,0.167,0.000,1.000,0.733,0.300,0.000,0.000,1.000,0.750,1.000,0.132,0.000,0.000,53
0.391,0.167,0.200,0.600,0.500,0.500,0.000,0.000,1.000,0.500,1.000,0.898,0.000,0.300,62
0.130,0.833,0.200,0.600,0.267,0.800,0.000,0.000,0.667,0.250,0.000,0.167,0.000,0.300,21
0.261,0.833,0.000,0.600,0.300,0.500,0.000,0.000,0.667,0.500,1.000,0.356,0.000,0.200,27
0.913,0.833,0.000,1.000,0.467,0.500,0.000,0.000,0.667,0.500,1.000,0.141,0.000,0.300,26
0.522,0.167,0.000,0.900,0.267,0.800,1.000,0.000,1.000,0.250,1.000,0.504,0.000,0.000,48
0.391,0.167,0.000,0.600,0.300,0.500,0.000,0.000,0.667,0.500,1.000,0.718,0.000,0.300,42
0.652,0.833,0.000,0.900,0.267,0.800,1.000,0.000,1.000,0.250,1.000,0.448,0.000,0.000,37
0.000,0.833,0.200,1.000,0.433,0.500,0.000,0.000,0.667,0.500,1.000,0.127,0.000,0.400,31
